lot_id,wafer_id,die_x,die_y,hard_bin,is_pass,param_vth,param_iddq,param_thickness,temp_c
L001,W01,0,0,1,true,0.514,1.21,728.2,23.1
L001,W01,0,1,1,true,0.509,1.18,729.1,23.0
L001,W01,1,0,1,true,0.518,1.25,727.8,23.2
L001,W01,1,1,2,false,0.547,4.82,735.6,23.3
L001,W02,0,0,1,true,0.503,1.15,731.0,23.4
L001,W02,0,1,1,true,0.506,1.19,730.4,23.5
L001,W02,1,0,3,false,0.462,8.90,719.7,23.5
L001,W02,1,1,1,true,0.511,1.22,730.1,23.6
L002,W03,0,0,1,true,0.521,1.30,726.5,24.0
L002,W03,0,1,1,true,0.519,1.28,727.0,24.1
L002,W03,1,0,2,false,0.555,5.40,738.2,24.1
L002,W03,1,1,1,true,0.516,1.24,727.4,24.2
L002,W04,0,0,1,true,0.507,1.17,729.8,24.4
L002,W04,0,1,1,true,0.508,1.20,730.3,24.4
L002,W04,1,0,1,true,0.510,1.19,729.9,24.5
L002,W04,1,1,3,false,0.458,9.70,716.4,24.6
